X,Y
-3,-101.2844253
-2.939393939,-95.81095175
-2.878787879,-89.86523012
-2.818181818,-85.18615998
-2.757575758,-85.47248263
-2.696969697,-80.17445076
-2.636363636,-73.00599258
-2.575757576,-68.89868794
-2.515151515,-64.93662416
-2.454545455,-54.44930787
-2.393939394,-57.34596142
-2.333333333,-52.69183168
-2.272727273,-49.66975755
-2.212121212,-47.02668295
-2.151515152,-45.84594323
-2.090909091,-40.71496915
-2.03030303,-40.9249531
-1.96969697,-37.12555585
-1.909090909,-35.01881124
-1.848484848,-31.40137958
-1.787878788,-24.57106131
-1.727272727,-30.68569492
-1.666666667,-23.44229443
-1.606060606,-26.01408967
-1.545454545,-21.81388627
-1.484848485,-16.87833611
-1.424242424,-17.21607084
-1.363636364,-17.88802149
-1.303030303,-15.64787653
-1.242424242,-11.43697558
-1.181818182,-12.92729975
-1.121212121,-9.792866832
-1.060606061,-8.980008614
-1,-9.303200695
-0.939393939,-2.721767608
-0.878787879,-4.829610268
-0.818181818,-9.310991409
-0.757575758,-4.123849586
-0.696969697,-5.12650584
-0.636363636,-1.471692309
-0.575757576,-4.200006555
-0.515151515,-2.34495275
-0.454545455,-0.665457448
-0.393939394,0.439360237
-0.333333333,-3.363555777
-0.272727273,-1.35420157
-0.212121212,-1.406077839
-0.151515152,-1.579914441
-0.090909091,3.397174446
-0.03030303,0.77501337
0.03030303,-2.496000594
0.090909091,1.886813301
0.151515152,4.287999958
0.212121212,2.071163651
0.272727273,-3.097342486
0.333333333,-1.116616294
0.393939394,2.274089989
0.454545455,-1.806022628
0.515151515,0.349307888
0.575757576,0.849265324
0.636363636,-2.726888742
0.696969697,-1.173785387
0.757575758,-7.724986749
0.818181818,-3.482283923
0.878787879,-2.13036935
0.939393939,-4.310520311
1,1.264822608
1.060606061,-5.03798262
1.121212121,-3.22547117
1.181818182,-2.238894503
1.242424242,0.242537674
1.303030303,-5.633334899
1.363636364,-0.536181887
1.424242424,-2.919567826
1.484848485,-4.954530227
1.545454545,-2.090068033
1.606060606,-2.607529383
1.666666667,-4.163396717
1.727272727,-2.743942036
1.787878788,-3.535354355
1.848484848,-2.376799798
1.909090909,-1.073935495
1.96969697,1.026890743
2.03030303,-4.317632278
2.090909091,2.779966073
2.151515152,-4.978945335
2.212121212,-0.908907308
2.272727273,1.101502933
2.333333333,1.080502254
2.393939394,-0.06711482
2.454545455,1.490592464
2.515151515,1.720846226
2.575757576,2.402259439
2.636363636,6.231135073
2.696969697,6.276376187
2.757575758,5.289084112
2.818181818,9.671476235
2.878787879,9.771735141
2.939393939,12.15787773
3,13.25925768
